"batchId ,",1.0,",overall_accuracy, ",77.5,",step_accuracy, ",77.5,",models, ","Counter({'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50': 1, 'DenseNet121': 1})",",",6,",","[[('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc900501278>)], [('Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc9ec05ba90>)]]"
"batchId ,",2.0,",overall_accuracy, ",77.0,",step_accuracy, ",76.5,",models, ","Counter({'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'ResNet50': 1, 'DenseNet121': 1})",",",6,",",None
"batchId ,",3.0,",overall_accuracy, ",77.33333333333333,",step_accuracy, ",78.0,",models, ","Counter({'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",5,",","[[('ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc90c3fc0b8>)]]"
"batchId ,",4.0,",overall_accuracy, ",75.875,",step_accuracy, ",71.5,",models, ","Counter({'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",6,",",['Xception']
"batchId ,",5.0,",overall_accuracy, ",76.1,",step_accuracy, ",77.0,",models, ","Counter({'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",6,",",None
"batchId ,",6.0,",overall_accuracy, ",75.91666666666667,",step_accuracy, ",75.0,",models, ","Counter({'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",6,",",None
"batchId ,",7.0,",overall_accuracy, ",75.5,",step_accuracy, ",73.0,",models, ","Counter({'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'ResNet50V2': 1})",",",7,",",['ResNet50V2']
"batchId ,",8.0,",overall_accuracy, ",76.125,",step_accuracy, ",80.5,",models, ","Counter({'InceptionV3': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",4,",","[[('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc9b4095f60>)], [['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc7d0571278>]], [('MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc9fc4009e8>)]]"
"batchId ,",9.0,",overall_accuracy, ",76.83333333333333,",step_accuracy, ",82.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",3,",","[[('InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc9b4449470>)]]"
"batchId ,",10.0,",overall_accuracy, ",76.25,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
"batchId ,",11.0,",overall_accuracy, ",76.13636363636364,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",12.0,",overall_accuracy, ",75.58333333333334,",step_accuracy, ",69.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",['MobileNetV2']
"batchId ,",13.0,",overall_accuracy, ",75.53846153846155,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",14.0,",overall_accuracy, ",75.03571428571428,",step_accuracy, ",68.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",['InceptionV3']
"batchId ,",15.0,",overall_accuracy, ",75.06666666666668,",step_accuracy, ",75.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",None
